,Female,Male,Total
Acushnet,1,1,2
Attleboro,1,2,3
Dighton,0,1,1
Easton,1,1,2
Fairhaven,0,2,2
Fall River,7,32,39
Freetown,0,1,1
New Bedford,18,56,74
North Attleboro,1,1,2
Norton,0,7,7
Raynham,2,1,3
Somerset,1,1,2
Swansea,0,1,1
Taunton,2,14,16
Westport,0,1,1
Total,34,122,156