,Female,Male,Total
Amesbury,2,4,6
Andover,2,2,4
Beverly,2,4,6
Boxford,0,1,1
Danvers,4,4,8
Georgetown,1,0,1
Gloucester,4,3,7
Groveland,0,1,1
Hamilton,1,0,1
Haverhill,19,11,30
Ipswich,0,1,1
Lawrence,11,40,51
Lynn,38,36,74
Lynnfield,0,1,1
Marblehead,1,0,1
Merrimac,1,0,1
Methuen,3,7,10
Newbury,1,0,1
North Andover,2,1,3
Peabody,4,10,14
Salem,3,5,8
Salisbury,12,3,15
Saugus,4,11,15
Swampscott,0,1,1
Wenham,1,0,1
Total,116,146,262