,Female,Male,Total
Agawam,0,3,3
Blandford,0,1,1
Brimfield,1,0,1
Chicopee,3,18,21
East Longmeadow,0,2,2
Holyoke,1,36,37
Ludlow,0,3,3
Russell,0,1,1
Springfield,7,196,203
West Springfield,0,5,5
Westfield,2,6,8
Total,14,271,285