,Female,Female %,Male,Male %,Total,Total %,Residents*
Suffolk County,77,13%,523,25%,600,22%,81
Middlesex County,124,21%,261,12%,385,14%,25
Essex County,128,21%,241,11%,369,14%,49
Hampden County,18,3%,274,13%,292,11%,63
Worcester County,33,5%,197,9%,230,8%,28
Plymouth County,85,14%,136,6%,221,8%,44
Bristol County,36,6%,164,8%,200,7%,36
Norfolk County,63,10%,93,4%,156,6%,23
Barnstable County,12,2%,55,3%,67,2%,31
Berkshire County,5,1%,25,1%,30,1%,23
Franklin County,1,<1%,21,1%,22,1%,31
Hampshire County,1,<1%,19,1%,20,1%,13
Dukes County,0,0%,2,<1%,2,<1%,12
Outside MA,16,3%,92,4%,108,4%,N/A
Unknown,2,<1%,1,<1%,3,<1%,N/A
Total,601,100%,"2,104",100%,"2,705",100%,41