,Females,Males,Total
Barnstable,4,23,27
Bourne,3,2,5
Brewster,0,3,3
Chatham,0,1,1
Dennis,0,5,5
Falmouth,1,9,10
Harwich,0,2,2
Mashpee,0,2,2
Sandwich,2,0,2
Truro,0,1,1
Yarmouth,2,7,9
Total,12,55,67