,Females,Males,Total
Acushnet,0,3,3
Attleboro,1,2,3
Dartmouth,0,4,4
Dighton,1,0,1
Easton,2,1,3
Fairhaven,0,1,1
Fall River,7,44,51
Freetown,1,1,2
Mansfield,2,3,5
New Bedford,12,66,78
North Attleboro,0,1,1
Norton,0,8,8
Raynham,0,1,1
Seekonk,0,2,2
Somerset,1,3,4
Swansea,0,2,2
Taunton,9,21,30
Westport,0,1,1
Total,36,164,200