,Females,Males,Total
Agawam,0,3,3
Blandford,1,1,2
Chicopee,4,16,20
Holyoke,1,41,42
Longmeadow,0,1,1
Ludlow,0,2,2
Palmer,0,1,1
Springfield,10,197,207
West Springfield,2,6,8
Westfield,0,6,6
Total,18,274,292