,Females,Males,Total
Acton,1,2,3
Arlington,1,6,7
Ashby,2,0,2
Ashland,16,2,18
Ayer,1,2,3
Bedford,0,2,2
Belmont,1,2,3
Billerica,3,9,12
Burlington,0,4,4
Cambridge,9,20,29
Chelmsford,1,2,3
Dracut,0,2,2
Everett,2,30,32
Framingham,12,33,45
Groton,2,0,2
Holliston,2,1,3
Hopkinton,7,1,8
Hudson,0,4,4
Lexington,1,0,1
Lowell,21,54,75
Malden,4,19,23
Marlborough,0,4,4
Maynard,1,1,2
Medford,2,12,14
Melrose,3,2,5
Natick,3,1,4
Newton,0,1,1
North Reading,1,0,1
Pepperell,1,2,3
Reading,2,0,2
Shirley,0,3,3
Somerville,5,10,15
Stoneham,1,1,2
Stow,1,0,1
Sudbury,1,1,2
Tewksbury,4,0,4
Townsend,0,1,1
Tyngsborough,0,1,1
Wakefield,0,7,7
Waltham,5,7,12
Watertown,0,3,3
Wilmington,3,1,4
Winchester,0,3,3
Woburn,5,5,10
Total,124,261,385