,Females,Males,Total
Agawam,0,3,3
Chicopee,0,20,20
East Longmeadow,1,0,1
Holland,0,1,1
Holyoke,4,33,37
Ludlow,0,2,2
Monson,0,1,1
Palmer,2,3,5
Springfield,5,196,201
West Springfield,1,4,5
Westfield,0,6,6
Wilbraham,0,3,3
Total,13,272,285