,Females,Males,Total
Avon,2,0,2
Braintree,6,7,13
Brookline,0,2,2
Canton,3,3,6
Cohasset,0,1,1
Dedham,1,4,5
Dover,1,0,1
Foxborough,3,0,3
Franklin,1,2,3
Holbrook,4,4,8
Medfield,1,1,2
Medway,1,0,1
Millis,0,1,1
Milton,2,2,4
Norfolk,0,1,1
Norwood,2,3,5
Plainville,0,1,1
Quincy,8,20,28
Randolph,3,12,15
Sharon,1,0,1
Stoughton,3,5,8
Walpole,2,0,2
Wellesley,1,0,1
Weymouth,7,14,21
Wrentham,0,2,2
Total,52,85,137