,Females ,Males ,Total
Amesbury ,6,6,12
Andover ,1,2,3
Beverly ,6,2,8
Danvers ,7,0,7
Georgetown ,2,0,2
Gloucester ,4,3,7
Groveland ,1,0,1
Haverhill ,16,18,34
Ipswich ,1,0,1
Lawrence ,22,65,87
Lynn ,38,46,84
Marblehead ,0,1,1
Methuen ,5,8,13
Middleton ,0,1,1
Newbury ,0,2,2
Newburyport ,0,1,1
North Andover ,0,4,4
Peabody ,6,9,15
Rockport ,1,0,1
Rowley ,0,1,1
Salem ,11,11,22
Salisbury ,13,2,15
Saugus ,7,11,18
Swampscott ,1,0,1
Total ,148,193,341