,Females ,Males ,Total
Avon ,0,2,2
Bellingham ,0,2,2
Braintree ,4,4,8
Brookline ,1,1,2
Canton ,1,0,1
Dedham ,2,3,5
Dover ,1,1,2
Foxborough ,1,1,2
Franklin ,1,1,2
Holbrook ,0,2,2
Millis ,2,0,2
Milton ,0,1,1
Needham ,2,0,2
Norwood ,3,7,10
Plainville ,0,1,1
Quincy ,15,30,45
Randolph ,3,15,18
Sharon ,1,0,1
Stoughton ,6,5,11
Walpole ,1,0,1
Westwood ,1,1,2
Weymouth ,9,12,21
Total,54,89,143