,Females ,Males ,Total
Athol ,0,3,3
Auburn ,0,3,3
Barre ,0,2,2
Berlin ,0,2,2
Brookfield ,0,1,1
Charlton ,0,2,2
Clinton ,1,5,6
Douglas ,1,0,1
Dudley ,0,1,1
East Brookfield ,0,1,1
Fitchburg ,4,24,28
Gardner ,0,1,1
Grafton ,1,0,1
Hardwick ,0,1,1
Holden ,0,3,3
Hopedale ,0,1,1
Leominster ,1,9,10
Lunenburg ,0,1,1
Milford ,2,4,6
Millbury ,10,4,14
Northborough ,1,1,2
Oakham ,0,2,2
Oxford ,0,2,2
Phillipston ,0,1,1
Rutland ,0,2,2
Shrewsbury ,0,1,1
Southbridge ,2,8,10
Spencer ,0,6,6
Sterling ,0,1,1
Sutton ,0,1,1
Uxbridge ,1,1,2
Webster ,0,7,7
Westborough ,2,7,9
Winchendon ,0,5,5
Worcester ,8,111,119
Total ,34,224,258